
                                               Leakage     Internal                                                             Library 
         Gate           Instances    Area    Power (nW)   Power (nW)                           Library                           Domain 
HDB116SLT28_OA21B_2             5     2.923     2560.257     2891.581    gf22nspvlogl28hdl116f_FFG_0P88V_0P00V_0P00V_0P00V_125C       1 
HDB116SLT28_OA21_2             49    24.555    24738.330    15514.445    gf22nspvlogl28hdl116f_FFG_0P88V_0P00V_0P00V_0P00V_125C       1 
HDB116SLT28_OA22_2              4     2.673     1950.423     1718.647    gf22nspvlogl28hdl116f_FFG_0P88V_0P00V_0P00V_0P00V_125C       1 
HDB116SLT28_OA31_2              2     1.169     1072.835      377.727    gf22nspvlogl28hdl116f_FFG_0P88V_0P00V_0P00V_0P00V_125C       1 
HDB116SLT28_OAI21B_2            2     1.336     1102.640      522.328    gf22nspvlogl28hdl116f_FFG_0P88V_0P00V_0P00V_0P00V_125C       1 
HDB116SLT28_OAI21_2             5     2.923     1303.239      937.957    gf22nspvlogl28hdl116f_FFG_0P88V_0P00V_0P00V_0P00V_125C       1 
HDB116SLT28_OAI22_2             2     1.503      910.988      528.827    gf22nspvlogl28hdl116f_FFG_0P88V_0P00V_0P00V_0P00V_125C       1 
HDB116SLT28_OR2_2              20     8.352     9627.182     4556.784    gf22nspvlogl28hdl116f_FFG_0P88V_0P00V_0P00V_0P00V_125C       1 
----------------------------------------------------------------------------------------------------------------------------------------
total                        1828  1476.383  1261978.767  2793357.392                                                           

